nome_clietne;Via;Città;Cap;Provincia;titolare_azienda;recapiti_mail;ANNO;IMPONIBILE
ANTORAF SRL Società Unipersonale;VIA SPINETO 14/O/P;Loc. Piane di FALERONE;63837;FM;ANDREA VERDUCCI;amministrazione@antoraf.it;2021;2082,07
ANTORAF SRL Società Unipersonale;VIA SPINETO 14/O/P;Loc. Piane di FALERONE;63837;FM;ANDREA VERDUCCI;amministrazione@antoraf.it;2022;3697,63
ANTORAF SRL Società Unipersonale;VIA SPINETO 14/O/P;Loc. Piane di FALERONE;63837;FM;ANDREA VERDUCCI;amministrazione@antoraf.it;2023;94,73
CALZIFICIO POTENZA SRL;VIA CAMPANIA 10;MELISSANO;73040;LE;;"calz.potenza@tin.it;";2018;204,67
CALZIFICIO POTENZA SRL;VIA CAMPANIA 10;MELISSANO;73040;LE;;"calz.potenza@tin.it;";2019;400,58
CALZIFICIO POTENZA SRL;VIA CAMPANIA 10;MELISSANO;73040;LE;;"calz.potenza@tin.it;";2020;1814,1
CALZIFICIO POTENZA SRL;VIA CAMPANIA 10;MELISSANO;73040;LE;;"calz.potenza@tin.it;";2021;9964,86
CALZIFICIO POTENZA SRL;VIA CAMPANIA 10;MELISSANO;73040;LE;;"calz.potenza@tin.it;";2022;2699,14
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2010;10343,48
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2011;11793,42
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2012;12223,36
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2013;7082,91
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2014;5143,31
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2015;11137,33
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2016;12827,27
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2017;12830,79
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2018;5245,57
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2020;14338,79
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2021;5061,88
MEGADYNE SPA ;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2022;16526,75
PIROLA GIOVANNI SNC;VIA L. DA VINCI, 56-58;CASSANO D'ADDA;20062;MI;PIROLA DANIELE;"info@passamaneriapirola.com; amministrazione@passamaneriapirola.com";2017;4486,88
