nome_cliente_12;codice_articolo_12;articolo_colore_12;unita_di_misura_12;quantita_12;imponibile_12
CIOCCA SPA;;;KG;139,589997410774;-1779,78
CIOCCA SPA;;;kg;17,8500003814697;-187,43
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X660001;40/2 ELAS RIT PA 66 - GREGGIO;KG;317,599997997284;2715,48
CIOCCA SPA;PF0008040/20X661000;40/2 ELAS RIT PA 66 - MORO 81;KG;123,750001847744;1577,81
CIOCCA SPA;PF0008040/20X661001;40/2 ELAS RIT PA 66 - NERO 20;KG;494,989995479584;6311,14
CIOCCA SPA;PF0008040/20X661002;40/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;760,079998493195;9687,07
CIOCCA SPA;PF0008040/20X661003;40/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;106,980000376701;1364
CIOCCA SPA;PF0008040/20X661004;40/2 ELAS RIT PA 66 - ANTRACITE 89;KG;270,829999804497;3453,12
CIOCCA SPA;PF0008040/20X661005;40/2 ELAS RIT PA 66 - BORDO' 58;KG;58,9199991226196;751,23
CIOCCA SPA;PF0008040/20X661006;40/2 ELAS RIT PA 66 - INDACO 728;KG;16,8500003814697;214,84
CIOCCA SPA;PF0008040/20X661008;40/2 ELAS RIT PA 66 - CORDA 06;KG;32,090000629425;409,15
CIOCCA SPA;PF0008040/20X661016;40/2 ELAS RIT PA 66 - SABBIA 03;KG;56,2800002098083;717,58
CIOCCA SPA;PF0008040/20X661026;40/2 ELAS RIT PA 66 - BEIGE 111;KG;15,639999628067;199,41
CIOCCA SPA;PF0008060/20X660001;60/2 ELAS RIT PA 66 - GREGGIO;KG;121,849999427795;865,16
CIOCCA SPA;PF0008060/20X661000;60/2 ELAS RIT PA 66 - MORO 81;KG;29,3999996185303;308,71
CIOCCA SPA;PF0008060/20X661001;60/2 ELAS RIT PA 66 - NERO 20;KG;742,939998984337;7801,09
CIOCCA SPA;PF0008060/20X661002;60/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;393,589999854565;4132,87
CIOCCA SPA;PF0008060/20X661003;60/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;120,590001106262;1266,24
CIOCCA SPA;PF0008060/20X661004;60/2 ELAS RIT PA 66 - ANTRACITE 89;KG;181,599999904633;1906,88
CIOCCA SPA;PF0008060/20X661006;60/2 ELAS RIT PA 66 - INDACO 728;KG;35,0699996948242;368,24
CIOCCA SPA;PF0008060/20X661007;60/2 ELAS RIT PA 66 - BLU NAVY 77;KG;28,3199996948242;297,37
CIOCCA SPA;PF0008060/20X661008;60/2 ELAS RIT PA 66 - CORDA 06;KG;16,2200002670288;170,32
CIOCCA SPA;PF0008060/20X661009;60/2 ELAS RIT PA 66 - ARGENTO 36;KG;45,1999995708466;474,63
CIOCCA SPA;PF0008060/20X661014;60/2 ELAS RIT PA 66 - GHIACCIO 131;KG;15,6399998664856;164,23
CIOCCA SPA;PF0008060/20X661016;60/2 ELAS RIT PA 66 - SABBIA 03;KG;15,8100001811981;166,01
CIOCCA SPA;PF0008060/20X661017;60/2 ELAS RIT PA 66 - NUBE 86;KG;22,5;236,26
CIOCCA SPA;PF0008060/20X661019;60/2 ELAS RIT PA 66 - AZZURRO 771;KG;13,75;144,38
CIOCCA SPA;PF0008060/20X661028;60/2 ELAS RIT PA 66 - ROSA 50;KG;31,2799997329712;328,46
CIOCCA SPA;PF0008060/30X660001;60/3 ELAS RIT PA 66 - GREGGIO;KG;44,2200002670288;482
CIOCCA SPA;PF0008060/30X661001;60/3 ELAS RIT PA 66 - NERO 20;KG;105,910001516342;1154,42
CIOCCA SPA;PF0008060/30X661002;60/3 ELAS RIT PA 66 - BLU NOTTE 85;KG;30,6200008392334;333,76
CIOCCA SPA;PF0008060/30X661003;60/3 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;31,8300004005432;343,77
CIOCCA SPA;PF0008060/30X661004;60/3 ELAS RIT PA 66 - ANTRACITE 89;KG;30,789999961853;332,54
CIOCCA SPA;PF0008060/30X661024;60/3 ELAS RIT PA 66 - BIANCO 02;KG;18,5499997138977;202,2
CIOCCA SPA;PF000844/340XTC1010;44/34/2 ELAS RIT TACTEL - NERO 20;KG;141,07000041008;2087,82
CIOCCA SPA;PF000844/340XTC1011;44/34/2 ELAS RIT TACTEL - BLU NOTTE 85;KG;88,5700008869171;1310,85
CIOCCA SPA;PF000844/340XTC1012;44/34/2 ELAS RIT TACTEL - ANTRACITE 89;KG;50,7700002193451;751,39
CIOCCA SPA;PF000844/340XTC1015;44/34/2 ELAS RIT TACTEL - CORDA 06;KG;31,25;462,49
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;;;;;
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009020/10A661013;20/1 ELAS APE PA 66 - CANDIDO;KG;1;30
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/10X661004;70/1 ELAS RIT PA 66 - NERO;KG;34,4200000762939;361,42
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/10X661005;70/1 ELAS RIT PA 66 - MORO C009;KG;21,4999995231628;225,76
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/10X661006;70/1 ELAS RIT PA 66 - BLU EX0017;KG;31,7000007629395;332,86
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/10X661007;70/1 ELAS RIT PA 66 - GRIGIO 8-3-07;KG;63,2100002765656;672,96
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/10X661014;70/1 ELAS RIT PA 66 - CERVO;KG;1,11000001430511;11,66
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/20X661004;70/2 ELAS RIT PA 66 - NERO;KG;31,3800001144409;298,12
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/20X661005;70/2 ELAS RIT PA 66 - MORO C009;KG;11,5299997329712;109,54
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/20X661006;70/2 ELAS RIT PA 66 - BLU EX0017;KG;31,5699999332428;299,93
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PF0009070/20X661007;70/2 ELAS RIT PA 66 - GRIGIO 8-3-07;KG;31,7999997138977;302,11
CALZIFICIO DE PIO di Chiaruttini & C. Snc.;PR00090004;;;0;45
DOLCI CALZE 2 SRL;;;;;
DOLCI CALZE 2 SRL;PF0010060/20X661001;60/2 ELAS RIT PA 66 - NERO;KG;384,600001811981;4076,77
DOLCI CALZE 2 SRL;PF0010060/20X661002;60/2 ELAS RIT PA 66 - MORO;KG;119,069999694824;1262,13
DOLCI CALZE 2 SRL;PF0010060/20X661003;60/2 ELAS RIT PA 66 - ECRU';KG;130,309999465942;1381,28
DOLCI CALZE 2 SRL;PF0010060/20X661004;60/2 ELAS RIT PA 66 - ANTRACITE 31;KG;30,4700000286102;322,98
DOLCI CALZE 2 SRL;PF0010060/20X661006;60/2 ELAS RIT PA 66 - FUME';KG;208,629999279976;2211,48
DOLCI CALZE 2 SRL;PF0010060/20X661007;60/2 ELAS RIT PA 66 - BLEU 29;KG;93,3900001049042;989,93
DOLCI CALZE 2 SRL;PF0010060/20X661008;60/2 ELAS RIT PA 66 - GRIGIO 11;KG;29,490000128746;312,59
DOLCI CALZE 2 SRL;PF0010060/20X661009;60/2 ELAS RIT PA 66 - SABBIA;KG;31,8100004196167;337,18
DOLCI CALZE 2 SRL;PF0010060/20X661012;60/2 ELAS RIT PA 66 - MARRONE SPENTO;KG;30,9299998283386;327,86
DOLCI CALZE 2 SRL;PF0010060/20X661019;60/2 ELAS RIT PA 66 - ARGENTO;KG;30,3600001335144;321,82
DOLCI CALZE 2 SRL;PF0010060/20X661021;60/2 ELAS RIT PA 66 - VERDONE;KG;34,1400008201599;361,89
DUBLO SRL;;;;;
DUBLO SRL;PF0011070/10X661010;Filo PA elas titolo 7.8 TEX (+ - 1 TEX) 23 bave - NERO;KG;87,6800012588501;859,28
DUBLO SRL;PF0011100/10X661010;100/1 ELAS RIT PA 66 - NERO;KG;124,139999389648;1216,57
DUBLO SRL;PF001167/200K661001;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BLEU 051;KG;541,480001211166;6281,18
DUBLO SRL;PF001167/200K661002;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - NERO 002;KG;72,6999998092651;843,32
DUBLO SRL;PF001167/200K661003;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - ANTRACITE 082;KG;196,430000901222;2278,57
