nome_cliente_22;codice_articolo_22;articolo_colore_22;unità_di_misura_22;quantita_22;imponibile_22
CIOCCA SPA;;;NR;;1019,88
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;285,350000977516;3535,82
CIOCCA SPA;PF0008040/20XEX1000;40/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;79,9799990653992;1300,25
CIOCCA SPA;PF0008040/20XEX1001;40/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;571,420001029968;9133,03
CIOCCA SPA;PF0008040/20XEX1002;40/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;631,530000686646;10191,7
CIOCCA SPA;PF0008040/20XEX1003;40/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;120,689999580383;1927,72
CIOCCA SPA;PF0008040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;226,979999244213;3626,74
CIOCCA SPA;PF0008040/20XEX1005;40/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;80,8300004005432;1248,82
CIOCCA SPA;PF0008040/20XEX1006;40/2 ELAS RIT FLEXI PA 66 - INDACO 728;KG;39,8299996852875;647,24
CIOCCA SPA;PF0008040/20XEX1007;40/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;59,7600002288818;947,2
CIOCCA SPA;PF0008040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;29,6300001144409;481,5
CIOCCA SPA;PF0008040/20XEX1026;40/2 ELAS RIT FLEXI PA 66 - BEIGE 111;KG;41,4800004959106;640,87
CIOCCA SPA;PF0008040/20XEX1033;40/2 ELAS RIT FLEXI PA 66 - BEIGE 14;KG;83,9799990653992;1427,66
CIOCCA SPA;PF0008060/20X661037;60/2 ELAS RIT PA 66 - GREGGIO;KG;280,709999084473;2843,09
CIOCCA SPA;PF0008060/20XEX1000;60/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;35,1099996566772;491,54
CIOCCA SPA;PF0008060/20XEX1001;60/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;481,66999912262;6735,23
CIOCCA SPA;PF0008060/20XEX1002;60/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;392,429999351501;5604,24
CIOCCA SPA;PF0008060/20XEX1003;60/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;75,6900000572205;1027,6
CIOCCA SPA;PF0008060/20XEX1004;60/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;75,3500003814697;1022,11
CIOCCA SPA;PF0008060/20XEX1007;60/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;190,899999856949;2609,86
CIOCCA SPA;PF0008060/20XEX1009;60/2 ELAS RIT FLEXI PA 66 - ARGENTO 36;KG;71,470000743866;1072,05
CIOCCA SPA;PF0008060/20XEX1024;60/2 ELAS RIT FLEXI PA 66 - BIANCO 02;KG;160,790000915527;2226,58
CIOCCA SPA;PF0008060/20XEX1026;60/2 ELAS RIT FLEXI PA 66 - BEIGE 111;KG;40,8299999237061;538,96
CIOCCA SPA;PF0008060/20XEX1030;60/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;74,9299998283386;989,08
CIOCCA SPA;PF0008060/20XEX1031;60/2 ELAS RIT FLEXI PA 66 - GHISA 87;KG;72,229998588562;982,32
CIOCCA SPA;PF0008060/20XEX1034;60/2 ELAS RIT FLEXI PA 66 - VR182 - MILITARE 48;KG;40,7800009250641;538,3
CIOCCA SPA;PF0008060/30IEX1001;60/3 ELAS INTER. FLEXI PA 66 - NERO 20;KG;31,4100003242493;475,85
CIOCCA SPA;PF0008060/30IEX1002;60/3 ELAS INTER. FLEXI PA 66 - BLU NOTTE 85;KG;39,1999995112419;535,08
CIOCCA SPA;PF0008060/30IEX1003;60/3 ELAS INTER. FLEXI PA 66 - GRIGIO TOPO 88;KG;41,4899997711182;566,34
CIOCCA SPA;PF0008060/30IEX1008;60/3 ELAS INTER. FLEXI PA 66 - CORDA 06;KG;41,1799993515015;562,11
CIOCCA SPA;PF0008060/30IEX1024;60/3 ELAS INTER. FLEXI PA 66 - BIANCO 02;KG;41,7399997711182;751,32
CIOCCA SPA;PF000844/340XTC1010;44/34/2 ELAS RIT TACTEL - NERO 20;KG;122,24999833107;2248,11
CIOCCA SPA;PF000844/340XTC1011;44/34/2 ELAS RIT TACTEL - BLU NOTTE 85;KG;74,0299997925758;1328,87
CIOCCA SPA;PF000844/340XTC1012;44/34/2 ELAS RIT TACTEL - ANTRACITE 89;KG;40,6800000667572;713,94
CIOCCA SPA;PF000844/340XTC1035;44/34/2 ELAS RIT TACTEL - BORDO' 58;KG;41,8500003814697;734,47
