codice_articolo;kg;data_ordine;data_etichetta;giorni;Unnamed: 6
PF0153007080I66;20;22/02/2023;23/02/2023;1;
PF0712007080XFL;20;15/02/2023;20/02/2023;5;
PF0712007080XFL;20;02/03/2023;08/03/2023;6;
PF0309007080XFL;20;06/11/2024;14/11/2024;8;
PF0309007080XFL;20;06/11/2024;14/11/2024;8;
PF0309007080XFL;20;06/11/2024;14/11/2024;8;
PF0309007080XFL;50;17/02/2025;17/03/2025;28;
PF0309007080XFL;60;17/02/2025;17/03/2025;28;
PF03090078I0I66;31;07/03/2023;21/03/2023;14;
PF0507017LY0ELY;30;12/09/2023;14/09/2023;2;
PF0617020/10AG6;40;06/10/2023;19/10/2023;13;
PF0617020/10AG6;44;06/10/2023;20/10/2023;14;
PF0617020/10AG6;50;28/03/2024;10/04/2024;13;
PF0617020/10AG6;54;28/03/2024;15/04/2024;18;
PF0617020/10AG6;45;30/08/2024;02/09/2024;3;
PF0617020/10AG6;24;30/08/2024;12/09/2024;13;
PF0809020/20X66;20;01/03/2024;07/03/2024;6;
PF0809020/20X66;20;07/03/2024;08/03/2024;1;
PF0809020/20X66;20;11/09/2024;16/09/2024;5;
PF0809020/20X66;20;20/06/2025;23/06/2025;3;
PF0791022/100PC;24;04/12/2023;07/12/2023;3;
PF0864027000PER;20;15/05/2025;03/06/2025;19;
PF0864027000PER;20;15/05/2025;03/06/2025;19;
PF0864027000PER;20;12/06/2025;26/06/2025;14;
PF0864027000PER;20;12/06/2025;26/06/2025;14;
PF0864027000PER;20;12/06/2025;26/06/2025;14;
PF0864027000PER;45;12/06/2025;26/06/2025;14;
PF0864027000PER;20;12/06/2025;01/07/2025;19;
PF0864027000PER;50;04/07/2025;14/07/2025;10;
PF0864027000PER;20;04/07/2025;15/07/2025;11;
PF0864027000PER;20;04/07/2025;15/07/2025;11;
PF0782027000PNP;24;20/03/2024;28/05/2024;69;
PF0580030/10A66;42;19/07/2024;30/07/2024;11;
PF0580030/10AEX;20;04/07/2024;11/07/2024;7;
PF0580030/10AEX;23;04/07/2024;11/07/2024;7;
PF0580030/10AEX;30;04/07/2024;11/07/2024;7;
PF0580030/10AEX;20;04/07/2024;15/07/2024;11;
PF0580030/10AEX;25;04/07/2024;15/07/2024;11;
PF0580030/10AEX;32;12/09/2024;30/09/2024;18;
PF0580030/10AEX;32;12/09/2024;01/10/2024;19;
PF0029030/10AEX;46;29/05/2025;01/07/2025;33;
PF0790030/10XP6;20;29/11/2023;01/12/2023;2;
PF0309030/20466;20;19/01/2023;20/02/2023;32;
PF0617030/20XEX;14;17/09/2024;01/10/2024;14;
PF0617030/20XEX;15;17/09/2024;01/10/2024;14;
PF0617030/20XEX;15;17/09/2024;04/10/2024;17;
PF0029030/20XEX;41;09/12/2024;22/01/2025;44;
PF0617030/20XEX;31;22/07/2025;27/08/2025;36;
PF0029033200A66;68;29/05/2024;06/06/2024;8;
PF0029033200A66;74;02/09/2024;26/09/2024;24;
PF0029033200A66;104;05/11/2024;02/12/2024;27;
PF0029033200A66;113;07/03/2025;10/04/2025;34;
PF0029033200A66;105;01/07/2025;17/07/2025;16;
PF0507040/10A66;26;10/01/2023;16/01/2023;6;
PF0507040/10A66;13;19/01/2023;06/02/2023;18;
PF0507040/10A66;13;19/01/2023;08/02/2023;20;
PF0507040/10A66;11;15/03/2023;19/04/2023;35;
PF0507040/10A66;11;15/03/2023;19/04/2023;35;
PF0507040/10A66;11;15/03/2023;19/04/2023;35;
